escopo,publicado_em,fonte,via,titulo,link
br,2024-10-15T07:00:00+00:00,migalhas.com.br,Google Notícias,STJ mantém condenação de advogado por post antissemita no Facebook,https://news.google.com/rss/articles/CBMirgFBVV95cUxNNUJIUk1VbkJtS2RBcVdmUFpsanpkZi0yMGs4dEcxd21SX3RqdXk3QTc4VnVzeGVoVUtfZGpCd2ExTzFSN3ZuUXZtNGs3ZHRaaDB3a0l0NUduckxRcUJ1S2VZel9uVTIyQ3RyTExHNmYzU3JmVU5CNVhhbWRhdzEySnJfbW5yZHc2UU94aUktdmJnZVNXb2l2T2xBSlliblFNVWU4WDZXOHhoSnhxMnc?oc=5
br,2025-01-21T08:00:00+00:00,stf noticias,Google Notícias,Decisões do STF reforçam combate à intolerância religiosa,https://news.google.com/rss/articles/CBMiogFBVV95cUxON05PR25FdGdwbDFlSTUxTHJ5YlRXRzR3b2hUYmJJblRpNlJubVJhMFZTRXprc05iVVFZWUN3clplS2MzRkNQaXVCcElRbkZybGZUdThtZkFKZF94WXh1dTV6QTYtVmFwTU1FM2RmRWlaMi1vQ0FISWUyZk5GcUFmQ2ZiSUZHdTZXX2RkbXc4a2pLSTEzRW42b3VZRTVvVjJfT1E?oc=5
br,2025-09-12T07:00:00+00:00,congressoemfoco.com.br,Google Notícias,Confederação Israelita repudia ataques antissemitas contra Fux,https://news.google.com/rss/articles/CBMisgFBVV95cUxPdXd0cjBDZmE4LVk0TVhzZF9YcXVfeXlOQm9tNUx3b0VoamJDOTNYaUFIclB3MnVLQjNfdlFvblFfQjZhZzNYXzF3NUFmQXJpYUdxdGxYNDVwblpKQVMzcTVmaGZDZ2EtZ2xJXy01NVlUS2k3enVTZjJBVWlqT0U0a3NWSFlUeENGdFRUX1BxQnkxQTBxOGt0UnhDZjNvWlZRd29XeEpQZjBOOC15QWVscm53?oc=5
br,2025-09-15T07:00:00+00:00,CNN Brasil,Google Notícias,"Confederação Israelita no Brasil repudia ""ataques antissemitas"" contra Fux",https://news.google.com/rss/articles/CBMisAFBVV95cUxNakw2SlhRQmZqb0lHVFMtS3FqeEdxQmI1YW5faEZERzRlMkhGMFVYS0o3MVNBUDk4dm9sN192LUxicXZRcTRJWFl1aGhHbWREYkhfa1RjUkFBdDkxUGhzQVczRFdzQV9zSXRqYjRURnkxUjV6SGpBOU9FUk11dHpHd2lxbnVvZFdpaXlkUzJLdzViNkxJZHFYU3hrbTNydkVjcUh5eGFRYXh1T1VUdzZ2Nw?oc=5
br,2025-11-14T08:00:00+00:00,G1,Google Notícias,"Perfil de internet em AL recrutava crianças para crimes de ódio, diz PF",https://news.google.com/rss/articles/CBMi1wFBVV95cUxOT3BwOEhZaFpxbF84S0NaSWZDLXYwMVRCZzl6VXRoc2xpNFRGcmtwcUwxeVp5RU93RWloNk1KZGtNUmsyRG1xSjNPWHFLQXIyZmlBZWZrbTdSVnFsUW5WdnZKWUh0elg5bEVzYVBKMlhNTlRVc0ZtUHI0cnFtUU1Jd05tR2F0cko5YVUzLXhOVEhtTEZIZG0wSWdUMjJnbnJaczJCdmVMeURTYXNRQTVpTkptdlJ0WExYeS1VZ1N2bUNUOGUzWnJrend3N3B4bVlpbWltdFFKUdIB5gFBVV95cUxOWUQ0SHd6XzhwT1RVMC1Cb19wa0w3Sk5NZTBGU3Q3VDNrWjJURU5qQTV3VWdjOTJ3UEZCYU9FaGlJYkxDN2RmN1hGOWR4SFFHaGRrRmNDOU85WlRXTEpVMkdjcFRmRk42RFdpa3k2WG42eUduclhiOWFwaTRVMERDN2JNUktKRFFBUzV0VW5CLXhtRjV0T3AtSnh3RHdQa1V1TFNpZ19la0pyY2pCaUN0NFlBSnVsdGROLXRGS3ctekFPOURQYTgydHZmazFRMmhpR29rZHBySzdNODFhWUZOT3l1X3NZQQ?oc=5
br,2025-12-20T08:00:00+00:00,cnnbrasil.com.br,Google Notícias,Caso Cláudia Leitte: o que se sabe sobre acusação de racismo religioso,https://news.google.com/rss/articles/CBMivAFBVV95cUxQQ3J5MWVFTlFXTWFTQzBEV1lkNTkwN0ZhSGZDcDFhTnZLZFdDc0JoX0JHMXVDakQ5VmNROHRleE1QTXZBdC0tNm9yQkc5VFBPX3VhS1VUbi0zdmo4OV9lVzM2WVdrdmtNSFFHYlJpaWVlZXd3YUUxTUdBNzBhcGFtMVFoNngyTUN0TEFYbGxCa0tSSTNxV3JxZkFCVzRsNndZWm4xT3ExQTJ2b1pMVDZlUVcxWUYwMjZTeGx3Vw?oc=5
br,2026-01-16T08:00:00+00:00,Midiamax,Google Notícias,STF condena advogado por praticar antissemitismo,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNV0NhX2FKTkxnTThCRDRVVF9RRFpjUVFFR0t3V0lBZjlVVmQ0RDdNU2RieFRET05kMjJENVFTSXpQOWIyS3dzbXNlWG14VURLR3RHZGdRbDhjMEFSeHBXek1aMm1ZaGlPbHRWQXRsTmJ6bFZ4MXNpalZ3NjRERTNwcVJtQ1EzUUpVMjc0?oc=5
br,2026-01-27T08:00:00+00:00,InfoMoney,Google Notícias,"‘Lula é antissemita’, afirma Flávio Bolsonaro em Israel",https://news.google.com/rss/articles/CBMilgFBVV95cUxNaUNRWGttbFllRXdvZWdya2haZHhTakZlY1NBZ2V2djN4U2p2cm45SHRkX3NiZFE4UVVUSDZzcHpacFJTQlVEYV9uZE1XRW5uTmhtYnR1aU1kdlp1eVBjSzY3TDdZRFFFQ0NwOEZkSEliU0FZaGZSTjJqNFlmWnpqMHdmeXNiQTVfc3ozY3liZVktQXNER2fSAZsBQVVfeXFMTzJORWtGOXhFa3E5ZUQtVFhIcjh4LWFPNE5aNWVpcXdTQkphX2k1cW9sZ2xhcEJpVkx4bXlETENNbDkzejZYOVFRREY4UDFIRkc2NUphTUJFLURRdjg2eXFVekZURTh0ZVNsYTNEcHV4bVI4UGI2MktGWFJjbGEzQzhMSlk0RnU3aE1JcTZkTndnVjFIcWRfWWVlX28?oc=5
br,2026-02-04T08:00:00+00:00,InfoMoney,Google Notícias,"Condenado por antissemitismo, vereador Adilson volta novamente à Câmara de São Paulo",https://news.google.com/rss/articles/CBMivwFBVV95cUxQSWYza0o2TmU2cXVMcFVCMFBzX1RsYnI2ZnluMGFWT1RkcVU3ZVBMY0Q3MlJGRXh1bXlqWkdqVGUtei0wSGNSbXRNYzFVRmtXMm1lRTFsb0x2VUFUa2x0MVVEclVGcDFzaTN5VEl0WDJXVUV4ZGhta2dMdnBCOHNYeThCSFNtNTVOU2FEejZMckdTSlJVMGx6VTVMLW1qYzJHM0pzUHRrUnVlYzAxYWdycjd6cDdFak5vY0x4V3loc9IBxAFBVV95cUxQdm5vNnAzdzJZLUtZc1E4U2ROWkZiVzJET1M0eWdiVXFMZWw4SW9GTUI1bUZzZm9EWU5PS1hxNEVJY05xOXpJLW1IWU9xeVpGQ19qNVhrb05WRHF1OEwybVZ5dFotRGF1U1hYd084VWI0YUlaNUZiZWpReUg5Nk0zRk9ZMGJMQmtMS3BYaVFjX292eVhDcjJVM2FXUlJucXpCdlFUYjhfaWlEbzAwSURaNm9fX3plMjNqVlVFejkxZFdhOEFj?oc=5
br,2026-04-01T07:00:00+00:00,Brasil Paralelo,Google Notícias,Tabata Amaral propõe definir antissemitismo na lei e partidos mais à esquerda reagem,https://news.google.com/rss/articles/CBMirwFBVV95cUxQMlAzck91cUJjeEdsMEFZMENtbUtmMmtPQ1hpc0x2T1V5S2ExeXE3WGhSYl9kNVIyZXdfMTNNVjhRZV8xazJtd1prZlcyU01yQTZYZXIwVm9hZkFKT2ZwaWF0LTJUUDA5MWQ4RndXSHBvX0lnMmZBMnJmLUlzWk9sdHhvYm1semFtXzRCeWdieXBCNzU5aVVkeXVzRV8tdWFwWThJOTF4MGVBQjlNcnZ3?oc=5
br,2026-04-03T07:00:00+00:00,Crusoé,Google Notícias,Esquerda histérica contra Tabata Amaral,https://news.google.com/rss/articles/CBMie0FVX3lxTE9EVUZZa0o3RG5KaTNOSGw1M1RPZW8zcGhnRUx0aGlSbWVXMDE1M0hHTkdpTDkzOHNXU09fZWd6bGMyQXEtNTJKLWJRTDJWT0hEdVRhQTNxSXBjWS1ER3dSc01ETzZ0Z0ZWVG9oZDJMdElJQnN6bjZhMUhHMA?oc=5
br,2026-04-06T07:00:00+00:00,Migalhas,Google Notícias,STJ: Suspensão do processo não se aplica em caso de racismo religioso,https://news.google.com/rss/articles/CBMisAFBVV95cUxOTktaT3ZFdVRGMXlicVNybzZIMnlnZXI3cGJyeHplQ0xHYjF0N3ZrNkN1cnQ1YjBFVGNOMlR6S0l1OEdRSnhCYnNiWTRsVndtaTkzUzEtOEhFc1k5a3AzdGhWM2lQQUMyZ05LZThsb0pJOVI0VWx3VUpVeENGeS1FRUpZdy14QjU1TGpTdGpTSmRCbnhSWUFRQnlkeUFJSXFEOWd1ZzRVYzFzT0QtdjlRSw?oc=5
br,2026-04-12T07:00:00+00:00,Jornal GGN,Google Notícias,"O Estadão entre o anti-STF e o antissemitismo, por Luís Nassif",https://news.google.com/rss/articles/CBMihgFBVV95cUxNSVl4UDNSUm9vejFEeXhPMTJEczFBcU5pT0FaR0JrNEp6OGpMcjg0b3lTYzhsSm4xeXlNejk5RGJWLVNDU0dFd2F1LThYYk5fSWRzZGlLeE02ZngyTEIzNFhDeUR4SjFVbExtVTVmdEZtWG93M0VaYWdPbUdEeXRteFlEQzFNUQ?oc=5
