ano,mes_numero,mes,denuncias,fonte,procedencia
2022,1,Janeiro,42,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,2,Fevereiro,59,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,3,Março,24,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,4,Abril,27,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,5,Maio,13,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,6,Junho,23,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,7,Julho,14,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,8,Agosto,42,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,9,Setembro,28,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,10,Outubro,33,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,11,Novembro,73,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2022,12,Dezembro,19,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,1,Janeiro,25,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,2,Fevereiro,19,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,3,Março,30,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,4,Abril,45,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,5,Maio,31,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,6,Junho,31,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,7,Julho,32,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,8,Agosto,44,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,9,Setembro,34,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,10,Outubro,388,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,11,Novembro,539,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2023,12,Dezembro,192,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,1,Janeiro,175,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,2,Fevereiro,323,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,3,Março,236,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,4,Abril,178,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,5,Maio,143,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,6,Junho,98,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,7,Julho,88,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,8,Agosto,106,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,9,Setembro,112,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,10,Outubro,151,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,11,Novembro,116,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
2024,12,Dezembro,62,CONIB/FISESP/DSC — Relatório de Antissemitismo no Brasil 2024,conferido
